########## Departure dates response ##########
                variables['departure_dates'] = [Int('departure_dates_transportation_' + str(i)) for i in range(2)]
                s.assert_and_track(variables['departure_dates'][0] == 0, 'travel start date')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 6, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 4, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 0, 'not the same day')
                s.assert_and_track(variables['departure_dates'][1] != 2, 'not the same day')
                s.assert_and_track(variable
